Chinese food name,String Locator,Model to Use,Multiplier,active status
原味鸡汤面,Handmadenoodleservedwithchickensoup,boxTakeOverName11,1.0,1
剑津笋宴,Bambooshootwithvermicelliseafoodthicksoup,boxTakeOverName12,1.0,1
海参煲中,Claypotseacucumberwithbroccoli&chestnut(m),boxTakeOverName12,1.0,1
南平焖面中,Braisednanpingnoodle(medium),boxTakeOverName12,1.0,1
便当A,BentoA,boxTakeOverName13,1.0,1
便当B,BentoB,boxTakeOverName13,1.0,1
便当C,BentoC,boxTakeOverName13,1.0,1
便当D,BentoD,boxTakeOverName13,1.0,1
便当A,BentoA-Campaign,boxTakeOverName13,1.0,1
便当A,BentoA-DailySalesPrice,boxTakeOverName13,1.0,1
便当A,BentoA-FlashDeal,boxTakeOverName13,1.0,1
便当D,Lazadabentod,boxTakeOverName13,1.0,1
便当E,BentoE(Vegetarian),boxTakeOverName14,1.0,1
家乡焖年糕大,Hometownbraisedricecake(large),boxTakeOverName15,1.0,1
南平炒面大,Nanpingfriednoodles(large),boxTakeOverName15,1.0,1
三人行炒饭大,Sanrenxingfriedrice(large),boxTakeOverName15,1.0,1
水煮牛肉,Sichuanstyleslicedbeef,boxTakeOverName15,1.0,1
风味辣子鸡,Szechuanstylespicychicken,boxTakeOverName15,1.0,1
水煮鱼片,Sichuanstyleslicedfish,boxTakeOverName15,1.0,1
农家木桶鱼,Spicyseabassinbucket,boxTakeOverName15,1.0,1
农家木桶鱼,Spicyfishinbucket*,boxTakeOverName15,1.0,1
水煮鱼片,Lazadaszechuanstyleslicedfish,boxTakeOverName15,1.0,1
风味辣子鸡,Lazadaszechuanstylespicychicken,boxTakeOverName15,1.0,1
避风塘炒虾,Stir-friedprawnsinthetyphoonshelterstyle*,boxTakeOverName15,1.0,1
南平炒面,Nanpingfriednoodles*,boxTakeOverName15,1.0,1
风味辣子鸡,Szechuanstylespicychicken-GEpromo,boxTakeOverName15,1.0,1
大白菜炖花蟹,Braisedcabbagesoupwithflowercrab,boxTakeOverName16,1.0,1
南平焖面大,Braisednanpingnoodle(large),boxTakeOverName16,1.0,1
鸿运肘子,Prosperitypig'strotter,boxTakeOverName16,1.0,1
原味鱼汤,Deepfriedfishsoupinclaypot,boxTakeOverName16,1.0,1
养生锅,Nutritiousstew-potchickenwithmushroom,boxTakeOverName16,1.0,1
养生锅,Lazadastewpotchickenwithmushroom,boxTakeOverName16,1.0,1
龙虾粥,Australianlobsterporridge,boxTakeOverName16,1.0,1
腰果,Cashew,boxTakeOverName17,1.0,1
腰果,Freecashew,boxTakeOverName17,1.0,1
辣妹子,Freespecialtychillisauce,boxTakeOverName17,1.0,1
腰果,Maltoscashew,boxTakeOverName17,1.0,1
辣妹子,Specialtychilisauce,boxTakeOverName17,1.0,1
辣妹子,Lazadaspecialtychilisauce,boxTakeOverName17,1.0,1
湿纸巾,WetTowel,boxTakeOverName18,1.0,1
茶香熏鸭,Tea-infusedsmokedduck,boxTakeOverName19,1.0,1
蒜泥白肉,Porkbellywithgarlicsauce,boxTakeOverName19,1.0,1
白米饭,Steamedwhiterice,boxTakeOverName19,1.0,1
草包饭,Strawbagrice,boxTakeOverName19,1.0,1
马蹄糕,Freewaterchestnutcake(4pcs),boxTakeOverName19,1.0,1
马蹄糕,Freewaterchestnutcake(6pcs),boxTakeOverName19,1.0,1
马蹄糕,Waterchestnutcake(6pc),boxTakeOverName19,1.0,1
排骨汤配饭,Lazadadoubleboiledporkribsoupwithrice,boxTakeOverName19,1.0,1
桂花糕,Osmanthusflowerjelly(4pcs),boxTakeOverName19,1.0,1
桂花糕,Freeosmanthusjelly(4pcs),boxTakeOverName19,1.0,1
桃胶,Nourishingpeachgumdessert-hot,boxTakeOverName20,1.0,1
桃胶,Nourishingpeachgumdessert-cold,boxTakeOverName20,1.0,1
桃胶,Freenourishingpeachgumdessert(cold),boxTakeOverName20,1.0,1
桃胶,Freenourishingpeachgumdessert(hot),boxTakeOverName20,1.0,1
便当A,BentoA,boxTakeOverName20,0.1,1
另加鲍鱼(1粒),Additionalabalone,boxTakeOverName5,1.0,1
金猪报喜(半只),Crispyroastedpig(half),boxTakeOverName9,1.0,1
金猪报喜(一只分两盒),Crispyroastedpig(wholeintwoboxes),boxTakeOverName9,2.0,1
金猪报喜(一只),Crispyroastedpig(whole),boxTakeOverName24,1.0,1
手工年糕,Freehandmadericecake,boxTakeOverName25,1.0,1
鱼生大,Freeprosperityabaloneyusheng(L),boxTakeOverName24,1.0,1
鱼生大,Prosperityabaloneyusheng(L),boxTakeOverName24,1.0,1
鱼生大,Freeprosperityabaloneyusheng(L),boxTakeOverName5,1.0,1
鱼生大,Prosperityabaloneyusheng(L),boxTakeOverName5,1.0,1
鱼生大,Prosperityabaloneyusheng(setfor8),boxTakeOverName5,1.0,1
鱼生大,Prosperityabaloneyusheng(setfor8),boxTakeOverName24,1.0,1
鱼生大,Prosperityabaloneyusheng(setfor10),boxTakeOverName24,1.0,1
鱼生大,Prosperityabaloneyusheng(setfor10),boxTakeOverName5,1.0,1
鱼生中,Freeprosperityabaloneyusheng(M),boxTakeOverName23,1.0,1
鱼生中,Prosperityabaloneyusheng(M),boxTakeOverName23,1.0,1
鱼生中,Freeprosperityabaloneyusheng(M),boxTakeOverName5,1.0,1
鱼生中,Prosperityabaloneyusheng(M),boxTakeOverName5,1.0,1
鱼生中,Prosperityabaloneyusheng(setfor6),boxTakeOverName5,1.0,1
鱼生中,Prosperityabaloneyusheng(setfor6),boxTakeOverName23,1.0,1
鱼生小,Prosperityabaloneyusheng(S),boxTakeOverName22,1.0,1
鱼生小,Freeprosperityabaloneyusheng(S),boxTakeOverName22,1.0,1
鱼生小,Prosperityabaloneyusheng(S),boxTakeOverName5,1.0,1
鱼生小,Freeprosperityabaloneyusheng(S),boxTakeOverName5,1.0,1
鱼生小,Prosperityabaloneyusheng(setfor4),boxTakeOverName5,1.0,1
鱼生小,Prosperityabaloneyusheng(setfor4),boxTakeOverName22,1.0,1
鱼生特小,Prosperityabaloneyusheng(SS),boxTakeOverName21,1.0,1
鱼生特小,Freeprosperityabaloneyusheng(SS),boxTakeOverName21,1.0,1
鱼生特小,Prosperityabaloneyusheng(SS),boxTakeOverName5,1.0,1
鱼生特小,Freeprosperityabaloneyusheng(SS),boxTakeOverName5,1.0,1
鱼生特小,Prosperityabaloneyusheng(setfor2),boxTakeOverName5,1.0,1
鱼生特小,Prosperityabaloneyusheng(setfor2),boxTakeOverName21,1.0,1
蜜汁烧鸭一只,Honeyroastedduck(whole),boxTakeOverName9,1.0,1
蜜汁烧鸭一只分两盒,Honeyroastedduck(wholeintwoboxes),boxTakeOverName10,2.0,1
蜜汁烧鸭半只,Honeyroastedduck(half),boxTakeOverName10,1.0,1
蜜汁烧鸭一只,Honeyroastedduck(whole),boxTakeOverName5,1.0,1
蜜汁烧鸭一只分两盒,Honeyroastedduck(wholeintwoboxes),boxTakeOverName5,1.0,1
蜜汁烧鸭半只,Honeyroastedduck(half),boxTakeOverName5,1.0,1
白灼活虾,Steamedliveprawns,boxTakeOverName0,1.0,1
白灼活虾,Steamedliveprawns,boxTakeOverName1,1.0,1
白灼活虾,Steamedliveprawns,boxTakeOverName5,1.0,1
10人传统盆菜,Traditionaltreasurepotfor10,boxTakeOverName12,1.0,1
4人传统盆菜,Traditionaltreasurepotfor4,boxTakeOverName11,1.0,1
6人传统盆菜,Traditionaltreasurepotfor6,boxTakeOverName11,1.0,1
8人传统盆菜,Traditionaltreasurepotfor8,boxTakeOverName12,1.0,1
10人鲍鱼盆菜,Treasurepotwithabalonefor10,boxTakeOverName12,1.0,1
10人鲍鱼盆菜,Treasurepotwithabalonefor10,boxTakeOverName4,2.0,1
4人鲍鱼盆菜,Treasurepotwithabalonefor4,boxTakeOverName5,1.5,1
4人鲍鱼盆菜,Treasurepotwithabalonefor4,boxTakeOverName11,1.0,1
6人鲍鱼盆菜,Treasurepotwithabalonefor6,boxTakeOverName4,1.0,1
6人鲍鱼盆菜,Treasurepotwithabalonefor6,boxTakeOverName11,1.0,1
8人鲍鱼盆菜,Treasurepotwithabalonefor8,boxTakeOverName4,1.0,1
8人鲍鱼盆菜,Treasurepotwithabalonefor8,boxTakeOverName12,1.0,1
极品花胶炖甘榜鸡,Doubleboiledkampongchickensoupwithpremiumfishmaw,boxTakeOverName4,1.0,1
红豆沙汤圆,Glutinousredbeanriceballs(min2orders),boxTakeOverName20,1.0,1
红豆沙汤圆,Freeglutinousredbeanriceball,boxTakeOverName20,1.0,1
新年2人套餐,CNYsetmenufor2(takeaway),boxTakeOverName11,2.0,1
新年2人套餐,CNYsetmenufor2(takeaway),boxTakeOverName5,2.0,1
新年2人套餐,CNYsetmenufor2(takeaway),boxTakeOverName4,2.0,1
新年2人套餐,CNYsetmenufor2(takeaway),boxTakeOverName0,2.0,1
新年2人套餐,CNYsetmenufor2(takeaway),boxTakeOverName20,2.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName3,1.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName5,2.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName16,1.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName9,1.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName0,3.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName12,2.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName20,5.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName11,2.0,1
新年4人套餐A,CNYsetmenufor4A(takeaway),boxTakeOverName4,2.0,1
新年4人套餐B,CNYsetmenufor4B(takeaway),boxTakeOverName11,3.0,1
新年4人套餐B,CNYsetmenufor4B(takeaway),boxTakeOverName5,4.0,1
新年4人套餐B,CNYsetmenufor4B(takeaway),boxTakeOverName9,2.0,1
新年4人套餐B,CNYsetmenufor4B(takeaway),boxTakeOverName0,1.0,1
新年4人套餐B,CNYsetmenufor4B(takeaway),boxTakeOverName4,2.0,1
新年4人套餐B,CNYsetmenufor4B(takeaway),boxTakeOverName12,3.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName11,1.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName16,5.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName9,1.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName5,2.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName1,1.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName4,2.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName0,2.0,1
新年6人套餐A,CNYsetmenufor6A(takeaway),boxTakeOverName15,2.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName11,1.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName4,2.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName9,2.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName1,1.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName0,1.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName16,2.0,1
新年6人套餐B,CNYsetmenufor6B(takeaway),boxTakeOverName15,2.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName16,3.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName3,1.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName2,1.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName4,2.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName12,1.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName10,1.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName9,1.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName5,2.0,1
新年8人套餐A,CNYsetmenufor8A(takeaway),boxTakeOverName15,2.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName12,1.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName4,2.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName9,2.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName1,1.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName10,3.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName2,1.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName16,1.0,1
新年8人套餐B,CNYsetmenufor8B(takeaway),boxTakeOverName15,1.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName16,4.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName2,1.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName3,1.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName5,3.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName4,3.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName15,2.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName10,3.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName9,1.0,1
新年10人套餐A,CNYsetmenufor10A(takeaway),boxTakeOverName1,1.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName12,2.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName4,2.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName9,3.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName5,2.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName1,2.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName10,3.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName2,1.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName16,3.0,1
新年10人套餐B,CNYsetmenufor10B(takeaway),boxTakeOverName15,1.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName12,2.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName4,5.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName9,7.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName24,1.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName1,1.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName16,5.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName5,2.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName10,2.0,1
新年十全十美套餐,Perfectsetfor10(takeaway),boxTakeOverName15,2.0,1
白米饭,SteamedWhiteRice,boxTakeOverName20,0.05,1
